3D Contour Integration Errors
Generated on: 2025-03-21 23:11:22
        Beta       N_poles         Error
3.200000e+01  3.400000e+01  2.373081e-09
3.200000e+01  3.500000e+01  2.343941e-09
3.200000e+01  3.600000e+01  2.337097e-09
3.200000e+01  3.700000e+01  2.340335e-09
3.200000e+01  3.800000e+01  2.334913e-09
3.200000e+01  3.900000e+01  2.354993e-09
3.200000e+01  4.000000e+01  2.336742e-09
3.200000e+01  4.100000e+01  2.338967e-09
3.200000e+01  4.200000e+01  2.336510e-09
3.200000e+01  4.300000e+01  2.325238e-09
3.200000e+01  4.400000e+01  2.345961e-09
3.200000e+01  4.500000e+01  2.343550e-09
3.200000e+01  4.600000e+01  2.403783e-09
3.200000e+01  4.700000e+01  2.335555e-09
3.200000e+01  4.800000e+01  2.335602e-09
3.200000e+01  4.900000e+01  2.350050e-09
3.200000e+01  5.000000e+01  2.333259e-09
3.200000e+01  5.100000e+01  2.335095e-09
3.200000e+01  5.200000e+01  2.334796e-09
3.200000e+01  5.300000e+01  2.349943e-09
3.200000e+01  5.400000e+01  2.348662e-09
3.200000e+01  5.500000e+01  2.333870e-09
3.200000e+01  5.600000e+01  2.333151e-09
3.200000e+01  5.700000e+01  2.334651e-09
3.200000e+01  5.800000e+01  2.360022e-09
3.200000e+01  5.900000e+01  2.349401e-09
3.200000e+01  6.000000e+01  2.329529e-09
6.400000e+01  1.000000e+00  1.622075e+00
6.400000e+01  2.000000e+00  9.914032e-01
6.400000e+01  3.000000e+00  5.192492e-01
6.400000e+01  4.000000e+00  3.045851e-01
6.400000e+01  5.000000e+00  1.630058e-01
6.400000e+01  6.000000e+00  8.953853e-02
6.400000e+01  7.000000e+00  4.689207e-02
6.400000e+01  8.000000e+00  2.581619e-02
6.400000e+01  9.000000e+00  1.369930e-02
6.400000e+01  1.000000e+01  6.896056e-03
6.400000e+01  1.100000e+01  4.005910e-03
6.400000e+01  1.200000e+01  1.941026e-03
6.400000e+01  1.300000e+01  1.089822e-03
6.400000e+01  1.400000e+01  5.576938e-04
6.400000e+01  1.500000e+01  2.955482e-04
6.400000e+01  1.600000e+01  1.557046e-04
6.400000e+01  1.700000e+01  7.714165e-05
6.400000e+01  1.800000e+01  4.388017e-05
6.400000e+01  1.900000e+01  2.138704e-05
6.400000e+01  2.000000e+01  1.236266e-05
6.400000e+01  2.100000e+01  6.065254e-06
6.400000e+01  2.200000e+01  3.580426e-06
6.400000e+01  2.300000e+01  1.661583e-06
6.400000e+01  2.400000e+01  1.001682e-06
6.400000e+01  2.500000e+01  4.599637e-07
6.400000e+01  2.600000e+01  2.733330e-07
6.400000e+01  2.700000e+01  1.303411e-07
6.400000e+01  2.800000e+01  7.650081e-08
6.400000e+01  2.900000e+01  3.625752e-08
6.400000e+01  3.000000e+01  2.154359e-08
6.400000e+01  3.100000e+01  1.040306e-08
6.400000e+01  3.200000e+01  5.936351e-09
6.400000e+01  3.300000e+01  3.860225e-09
